Period,Treatment,Player,Color,Partner,LeftLocation,LeftValue,RightLocation,RightValue,RangeTotal,RangeOverlap,Revenue,TotalCost,Profit,GraphLeftX,GraphLeftY,GraphMiddleX,GraphMiddleY,GraphRightX,GraphRightY,BlueCost,RedCost
1,A,1,Blue,2,-1.82,0,1.59,0,3.41,1.59,2.328972,0.465124,1.863848,-8,0,0,1,8,0,0.08,0.03,
1,A,2,Red,1,0,0,3.54,0,3.54,1.59,2.040778,0.187974,1.852804,-8,0,0,1,8,0,0.08,0.03,
2,A,1,Blue,2,-1.82,0.7725,1.59,0.80125,3.41,1.59,2.328972,0.465124,1.863848,-8,0,0,1,8,0,0.08,0.03,
2,A,2,Red,1,0,1,3.54,0.5575,3.54,1.59,2.040778,0.187974,1.852804,-8,0,0,1,8,0,0.08,0.03,
3,A,1,Blue,2,-1.82,0.7725,1.59,0.80125,3.41,1.59,2.328972,0.465124,1.863848,-8,0,0,1,8,0,0.08,0.03,
3,A,2,Red,1,0,1,3.54,0.5575,3.54,1.59,2.040778,0.187974,1.852804,-8,0,0,1,8,0,0.08,0.03,
4,A,1,Blue,2,-1.82,0.7725,1.59,0.80125,3.41,1.59,2.328972,0.465124,1.863848,-8,0,0,1,8,0,0.08,0.03,
4,A,2,Red,1,0,1,3.54,0.5575,3.54,1.59,2.040778,0.187974,1.852804,-8,0,0,1,8,0,0.08,0.03,
5,A,1,Blue,2,-1.82,0.7725,1.59,0.80125,3.41,1.59,2.328972,0.465124,1.863848,-8,0,0,1,8,0,0.08,0.03,
5,A,2,Red,1,0,1,3.54,0.5575,3.54,1.59,2.040778,0.187974,1.852804,-8,0,0,1,8,0,0.08,0.03,
6,B,1,Blue,2,-0.86,0,0.56,0,1.42,0.56,0.513975,0.010082,0.503893,-4,0,0,0.5,4,0,0.01,0.01,
6,B,2,Red,1,0,0,3.89,0,3.89,0.56,0.8690438,0.0756605,0.7933833,-4,0,0,0.5,4,0,0.01,0.01,
7,B,1,Blue,2,-0.86,0.3925,0.56,0.43,1.42,0.56,0.513975,0.010082,0.503893,-4,0,0,0.5,4,0,0.01,0.01,
7,B,2,Red,1,0,0.5,3.89,0.01374999,3.89,0.56,0.8690438,0.0756605,0.7933833,-4,0,0,0.5,4,0,0.01,0.01,
8,B,1,Blue,2,-0.86,0.3925,0.56,0.43,1.42,0.56,0.513975,0.010082,0.503893,-4,0,0,0.5,4,0,0.01,0.01,
8,B,2,Red,1,0,0.5,3.89,0.01374999,3.89,0.56,0.8690438,0.0756605,0.7933833,-4,0,0,0.5,4,0,0.01,0.01,
9,B,1,Blue,2,-0.86,0.3925,0.56,0.43,1.42,0.56,0.513975,0.010082,0.503893,-4,0,0,0.5,4,0,0.01,0.01,
9,B,2,Red,1,0,0.5,3.89,0.01374999,3.89,0.56,0.8690438,0.0756605,0.7933833,-4,0,0,0.5,4,0,0.01,0.01,
10,B,1,Blue,2,-0.86,0.3925,0.56,0.43,1.42,0.56,0.513975,0.010082,0.503893,-4,0,0,0.5,4,0,0.01,0.01,
10,B,2,Red,1,0,0.5,3.89,0.01374999,3.89,0.56,0.8690438,0.0756605,0.7933833,-4,0,0,0.5,4,0,0.01,0.01,
11,B,1,Blue,2,-0.86,0.3925,0.56,0.43,1.42,0.56,0.513975,0.010082,0.503893,-4,0,0,0.5,4,0,0.01,0.01,
11,B,2,Red,1,0,0.5,3.89,0.01374999,3.89,0.56,0.8690438,0.0756605,0.7933833,-4,0,0,0.5,4,0,0.01,0.01,
12,B,1,Blue,2,-0.86,0.3925,0.56,0.43,1.42,0.56,0.513975,0.010082,0.503893,-4,0,0,0.5,4,0,0.01,0.01,
12,B,2,Red,1,0,0.5,3.89,0.01374999,3.89,0.56,0.8690438,0.0756605,0.7933833,-4,0,0,0.5,4,0,0.01,0.01,
13,B,1,Blue,2,-0.86,0.3925,0.56,0.43,1.42,0.56,0.513975,0.010082,0.503893,-4,0,0,0.5,4,0,0.01,0.01,
13,B,2,Red,1,0,0.5,3.89,0.01374999,3.89,0.56,0.8690438,0.0756605,0.7933833,-4,0,0,0.5,4,0,0.01,0.01,
14,B,1,Blue,2,-0.86,0.3925,0.56,0.43,1.42,0.56,0.513975,0.010082,0.503893,-4,0,0,0.5,4,0,0.01,0.01,
14,B,2,Red,1,0,0.5,3.89,0.01374999,3.89,0.56,0.8690438,0.0756605,0.7933833,-4,0,0,0.5,4,0,0.01,0.01,
15,B,1,Blue,2,-0.86,0.3925,0.56,0.43,1.42,0.56,0.513975,0.010082,0.503893,-4,0,0,0.5,4,0,0.01,0.01,
15,B,2,Red,1,0,0.5,3.89,0.01374999,3.89,0.56,0.8690438,0.0756605,0.7933833,-4,0,0,0.5,4,0,0.01,0.01,
16,B,1,Blue,2,-0.86,0.3925,0.56,0.43,1.42,0.56,0.513975,0.010082,0.503893,-4,0,0,0.5,4,0,0.01,0.01,
16,B,2,Red,1,0,0.5,3.89,0.01374999,3.89,0.56,0.8690438,0.0756605,0.7933833,-4,0,0,0.5,4,0,0.01,0.01,
17,B,1,Blue,2,-0.86,0.3925,0.56,0.43,1.42,0.56,0.513975,0.010082,0.503893,-4,0,0,0.5,4,0,0.01,0.01,
17,B,2,Red,1,0,0.5,3.89,0.01374999,3.89,0.56,0.8690438,0.0756605,0.7933833,-4,0,0,0.5,4,0,0.01,0.01,
18,B,1,Blue,2,-0.86,0.3925,0.56,0.43,1.42,0.56,0.513975,0.010082,0.503893,-4,0,0,0.5,4,0,0.01,0.01,
18,B,2,Red,1,0,0.5,3.89,0.01374999,3.89,0.56,0.8690438,0.0756605,0.7933833,-4,0,0,0.5,4,0,0.01,0.01,
19,B,1,Blue,2,-0.86,0.3925,0.56,0.43,1.42,0.56,0.513975,0.010082,0.503893,-4,0,0,0.5,4,0,0.01,0.01,
19,B,2,Red,1,0,0.5,3.89,0.01374999,3.89,0.56,0.8690438,0.0756605,0.7933833,-4,0,0,0.5,4,0,0.01,0.01,
20,B,1,Blue,2,-0.86,0.3925,0.56,0.43,1.42,0.56,0.513975,0.010082,0.503893,-4,0,0,0.5,4,0,0.01,0.01,
20,B,2,Red,1,0,0.5,3.89,0.01374999,3.89,0.56,0.8690438,0.0756605,0.7933833,-4,0,0,0.5,4,0,0.01,0.01,
21,B,1,Blue,2,-0.86,0.3925,0.56,0.43,1.42,0.56,0.513975,0.010082,0.503893,-4,0,0,0.5,4,0,0.01,0.01,
21,B,2,Red,1,0,0.5,3.89,0.01374999,3.89,0.56,0.8690438,0.0756605,0.7933833,-4,0,0,0.5,4,0,0.01,0.01,
22,B,1,Blue,2,-0.86,0.3925,0.56,0.43,1.42,0.56,0.513975,0.010082,0.503893,-4,0,0,0.5,4,0,0.01,0.01,
22,B,2,Red,1,0,0.5,3.89,0.01374999,3.89,0.56,0.8690438,0.0756605,0.7933833,-4,0,0,0.5,4,0,0.01,0.01,
23,B,1,Blue,2,-0.86,0.3925,0.56,0.43,1.42,0.56,0.513975,0.010082,0.503893,-4,0,0,0.5,4,0,0.01,0.01,
23,B,2,Red,1,0,0.5,3.89,0.01374999,3.89,0.56,0.8690438,0.0756605,0.7933833,-4,0,0,0.5,4,0,0.01,0.01,
24,B,1,Blue,2,-0.86,0.3925,0.56,0.43,1.42,0.56,0.513975,0.010082,0.503893,-4,0,0,0.5,4,0,0.01,0.01,
24,B,2,Red,1,0,0.5,3.89,0.01374999,3.89,0.56,0.8690438,0.0756605,0.7933833,-4,0,0,0.5,4,0,0.01,0.01,
25,B,1,Blue,2,-0.86,0.3925,0.56,0.43,1.42,0.56,0.513975,0.010082,0.503893,-4,0,0,0.5,4,0,0.01,0.01,
25,B,2,Red,1,0,0.5,3.89,0.01374999,3.89,0.56,0.8690438,0.0756605,0.7933833,-4,0,0,0.5,4,0,0.01,0.01,
26,B,1,Blue,2,-0.86,0.3925,0.56,0.43,1.42,0.56,0.513975,0.010082,0.503893,-4,0,0,0.5,4,0,0.01,0.01,
26,B,2,Red,1,0,0.5,3.89,0.01374999,3.89,0.56,0.8690438,0.0756605,0.7933833,-4,0,0,0.5,4,0,0.01,0.01,
27,B,1,Blue,2,-0.86,0.3925,0.56,0.43,1.42,0.56,0.513975,0.010082,0.503893,-4,0,0,0.5,4,0,0.01,0.01,
27,B,2,Red,1,0,0.5,3.89,0.01374999,3.89,0.56,0.8690438,0.0756605,0.7933833,-4,0,0,0.5,4,0,0.01,0.01,
28,B,1,Blue,2,-0.86,0.3925,0.56,0.43,1.42,0.56,0.513975,0.010082,0.503893,-4,0,0,0.5,4,0,0.01,0.01,
28,B,2,Red,1,0,0.5,3.89,0.01374999,3.89,0.56,0.8690438,0.0756605,0.7933833,-4,0,0,0.5,4,0,0.01,0.01,
29,B,1,Blue,2,-0.86,0.3925,0.56,0.43,1.42,0.56,0.513975,0.010082,0.503893,-4,0,0,0.5,4,0,0.01,0.01,
29,B,2,Red,1,0,0.5,3.89,0.01374999,3.89,0.56,0.8690438,0.0756605,0.7933833,-4,0,0,0.5,4,0,0.01,0.01,
30,B,1,Blue,2,-0.86,0.3925,0.56,0.43,1.42,0.56,0.513975,0.010082,0.503893,-4,0,0,0.5,4,0,0.01,0.01,
30,B,2,Red,1,0,0.5,3.89,0.01374999,3.89,0.56,0.8690438,0.0756605,0.7933833,-4,0,0,0.5,4,0,0.01,0.01,
